,,Shape,Ranks,Entries,Compression,Elapsed Time (s)
J_detRT,5,"[(3, 1), (3, 1), (3, 1), (3, 1), (1, 3), (1, 3)]","[3, 9, 24, 9, 3]",1476,0.49,5.828
JdR,5,"[3, 3, 3, 3, 3, 3, 2]","[3, 9, 27, 16, 6, 2]",2443,0.6,5.839
Intg_int,5,"[(5, 5), (5, 5)]",[10],500,1.25,6.078
Intg_str,5,"[(5, 5), (5, 5), (2, 1)]","[19, 2]",1429,0.87,6.078
H,5,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[3, 3, 3, 3, 3, 48]",5055,664.69,6.078
S,5,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[3, 3, 2, 1, 1, 10]",898,1676258.35,6.08
F,5,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[1, 1, 1, 1, 1, 10]",609,2471724.14,6.08
Jx_det_in,5,"[2, 3, 3]","[2, 3]",31,0.58,6.164
Jy_det_in,5,"[2, 3, 3]","[1, 1]",8,2.25,6.164
Rx_in,5,"[2, 3, 3, 3, 3]","[2, 6, 6, 2]",190,0.85,6.164
Ry_in,5,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,6.164
Ox_in,5,"[4, 4, 4, 2, 3, 3]","[4, 8, 2, 1, 1]",218,5.28,6.164
Oy_in,5,"[4, 4, 4, 2, 3, 3]","[4, 8, 2, 1, 1]",218,5.28,6.164
ORx_in,5,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 10, 18, 18, 6, 2]",2610,3.97,6.18
ORy_in,5,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 8, 2, 2, 6, 6, 3]",423,24.51,6.18
ORJx_det_in,5,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 10, 18, 18, 6, 2]",2610,3.97,6.197
ORJy_det_in,5,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 8, 2, 2, 6, 6, 3]",423,24.51,6.197
Intg_bound_in,5,"[(12, 12), (4, 4), (4, 1), (4, 1), (5, 5), (5, 5)]","[4, 12, 16, 12, 3]",3855,5976.65,6.436
H_bound_in,5,"[(4, 4), (4, 1), (4, 1), (7, 7), (12, 12), (5, 5), (5, 5)]","[4, 10, 12, 12, 12, 3]",29471,38307.49,6.443
B_in,5,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 12), (5, 5), (5, 5)]","[4, 10, 12, 12, 12, 3]",31391,575431.17,6.443
Jx_det_out,5,"[2, 3, 3]","[2, 3]",31,0.58,6.451
Jy_det_out,5,"[2, 3, 3]","[1, 1]",8,2.25,6.452
Rx_out,5,"[2, 3, 3, 3, 3]","[2, 6, 6, 2]",190,0.85,6.465
Ry_out,5,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,6.465
Ox_out,5,"[4, 4, 4, 2, 3, 3]","[4, 8, 2, 1, 1]",218,5.28,6.522
Oy_out,5,"[4, 4, 4, 2, 3, 3]","[4, 8, 2, 1, 1]",218,5.28,6.522
ORx_out,5,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 10, 18, 18, 6, 2]",2610,3.97,6.538
ORy_out,5,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 8, 2, 2, 6, 6, 3]",423,24.51,6.538
ORJx_det_out,5,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 10, 18, 18, 6, 2]",2610,3.97,6.554
ORJy_det_out,5,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 8, 2, 2, 6, 6, 3]",423,24.51,6.554
Intg_bound_out,5,"[(4, 1), (4, 1), (4, 1), (5, 5), (5, 5)]","[4, 10, 12, 3]",1631,24.52,6.792
H_bound_out,5,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 10, 12, 12, 12, 3]",4367,769.41,6.795
B_out,5,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 10, 12, 12, 12, 3]",4367,769.41,6.795
J,6,"[(3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (2, 2)]","[3, 9, 6, 4, 4, 4]",436,6.69,6.884
J_det,6,"[3, 3, 3, 3]","[3, 6, 3]",126,0.64,6.97
R,6,"[3, 3, 3, 3, 3, 3]","[3, 9, 9, 9, 3]",666,1.09,6.999
