,,Shape,Ranks,Entries,Compression,Elapsed Time (s)
R,4,"[5, 5, 3, 3, 3, 3]","[3, 9, 9, 9, 3]",726,2.79,8.714
dR,4,"[5, 5, 3, 3, 3, 3, 2]","[3, 8, 12, 12, 5, 2]",1069,3.79,8.714
J_detRT,4,"[(5, 1), (5, 1), (3, 1), (3, 1), (1, 3), (1, 3)]","[3, 12, 9, 9, 3]",852,2.38,8.72
JdR,4,"[5, 5, 3, 3, 3, 3, 2]","[4, 20, 18, 14, 6, 2]",2548,1.59,8.731
Intg_int,4,"[(7, 7), (7, 7)]",[1],98,24.5,9.002
Intg_str,4,"[(7, 7), (7, 7), (2, 1)]","[3, 2]",445,10.79,9.002
H,4,"[(4, 1), (8, 1), (8, 1), (7, 1), (12, 1), (7, 7), (7, 7)]","[3, 3, 3, 3, 3, 7]",1699,30389.11,9.002
S,4,"[(4, 4), (8, 8), (8, 8), (7, 7), (12, 1), (7, 7), (7, 7)]","[3, 3, 2, 1, 1, 1]",1216,76087942.74,9.004
F,4,"[(4, 4), (8, 8), (8, 8), (7, 7), (12, 1), (7, 7), (7, 7)]","[1, 1, 1, 1, 1, 1]",303,305356232.24,9.004
Jx_det_in,4,"[2, 5, 3]","[1, 1]",10,3.0,9.136
Jy_det_in,4,"[2, 5, 3]","[1, 1]",10,3.0,9.136
Rx_in,4,"[2, 5, 3, 3, 3]","[1, 3, 3, 1]",56,4.82,9.136
Ry_in,4,"[2, 5, 3, 3, 3]","[2, 6, 6, 3]",235,1.15,9.136
Ox_in,4,"[4, 8, 8, 2, 5, 3]","[4, 16, 2, 1, 1]",796,9.65,9.136
Oy_in,4,"[4, 8, 8, 2, 5, 3]","[4, 16, 2, 1, 1]",796,9.65,9.136
ORx_in,4,"[4, 8, 8, 2, 5, 3, 3, 3]","[3, 8, 1, 1, 3, 3, 1]",324,213.33,9.15
ORy_in,4,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 16, 2, 2, 6, 6, 3]",1023,67.57,9.15
ORJx_det_in,4,"[4, 8, 8, 2, 5, 3, 3, 3]","[3, 8, 1, 1, 3, 3, 1]",324,213.33,9.163
ORJy_det_in,4,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 16, 2, 2, 6, 6, 3]",1023,67.57,9.163
Intg_bound_in,4,"[(12, 12), (4, 4), (8, 1), (8, 1), (7, 7), (7, 7)]","[3, 9, 15, 3, 2]",2696,131321.16,9.405
H_bound_in,4,"[(4, 4), (8, 1), (8, 1), (7, 7), (12, 12), (7, 7), (7, 7)]","[4, 14, 3, 3, 3, 2]",2977,5827360.08,9.413
B_in,4,"[(4, 4), (8, 8), (8, 8), (7, 7), (12, 12), (7, 7), (7, 7)]","[4, 14, 3, 3, 3, 2]",8465,131160692.31,9.413
Jx_det_out,4,"[2, 5, 3]","[1, 1]",10,3.0,9.427
Jy_det_out,4,"[2, 5, 3]","[1, 1]",10,3.0,9.427
Rx_out,4,"[2, 5, 3, 3, 3]","[2, 6, 6, 2]",214,1.26,9.448
Ry_out,4,"[2, 5, 3, 3, 3]","[2, 6, 6, 3]",235,1.15,9.448
Ox_out,4,"[4, 8, 8, 2, 5, 3]","[4, 16, 2, 1, 1]",796,9.65,9.541
Oy_out,4,"[4, 8, 8, 2, 5, 3]","[4, 16, 2, 1, 1]",796,9.65,9.541
ORx_out,4,"[4, 8, 8, 2, 5, 3, 3, 3]","[3, 8, 1, 2, 6, 6, 2]",482,143.4,9.555
ORy_out,4,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 16, 2, 2, 6, 6, 3]",1023,67.57,9.555
ORJx_det_out,4,"[4, 8, 8, 2, 5, 3, 3, 3]","[3, 8, 1, 2, 6, 6, 2]",482,143.4,9.569
ORJy_det_out,4,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 16, 2, 2, 6, 6, 3]",1023,67.57,9.569
Intg_bound_out,4,"[(4, 1), (8, 1), (8, 1), (7, 7), (7, 7)]","[4, 14, 3, 2]",1192,515.65,9.809
H_bound_out,4,"[(4, 1), (8, 1), (8, 1), (7, 1), (12, 1), (7, 7), (7, 7)]","[4, 14, 3, 3, 3, 2]",1363,37880.49,9.812
B_out,4,"[(4, 1), (8, 1), (8, 1), (7, 1), (12, 1), (7, 7), (7, 7)]","[4, 14, 3, 3, 3, 2]",1363,37880.49,9.812
